State,District,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers
JAMMU AND KASHMIR,Kupwara,229064,190899,38165,123837,105227,641290,34680,56759,7946,129679
JAMMU AND KASHMIR,Badgam,214866,162578,52288,132003,82863,538879,55299,36630,29102,93835
JAMMU AND KASHMIR,Leh(Ladakh),75079,53265,21814,57125,17954,58408,20869,1645,1020,51545
JAMMU AND KASHMIR,Kargil,51873,39839,12034,28941,22932,88929,8266,3763,1222,38622
JAMMU AND KASHMIR,Punch,161393,117677,43716,73247,88146,315442,54264,31583,3930,71616
JAMMU AND KASHMIR,Rajouri,290912,184752,106160,130377,160535,351503,136527,24016,4656,125713
JAMMU AND KASHMIR,Kathua,200431,161548,38883,142847,57584,416004,69533,21566,3952,105380
JAMMU AND KASHMIR,Baramula,304200,249581,54619,187959,116241,703839,57495,62246,15084,169375
JAMMU AND KASHMIR,Bandipore,149317,101380,47937,75173,74144,242915,28232,32882,20484,67719
JAMMU AND KASHMIR,Srinagar,407188,333151,74037,330547,76641,829641,12228,10408,20095,364457
JAMMU AND KASHMIR,Ganderbal,100890,73305,27585,52949,47941,196556,15337,19312,7630,58611
JAMMU AND KASHMIR,Pulwama,188420,138428,49992,98306,90114,372020,49746,34080,10615,93979
JAMMU AND KASHMIR,Shupiyan,87721,63931,23790,54703,33018,178494,47424,10835,3395,26067
JAMMU AND KASHMIR,Anantnag,389684,244032,145652,176800,212884,689008,140957,76364,16322,156041
JAMMU AND KASHMIR,Kulgam,159990,102317,57673,77812,82178,264493,69173,29928,6193,54696
JAMMU AND KASHMIR,Doda,151912,101144,50768,79377,72535,258024,69947,12199,1932,67834
JAMMU AND KASHMIR,Ramban,87212,68476,18736,52051,35161,196501,41394,8810,2538,34470
JAMMU AND KASHMIR,Kishtwar,82974,56779,26195,44718,38256,147722,39271,16296,1186,26221
JAMMU AND KASHMIR,Udhampur,243672,163845,79827,152442,91230,311313,113020,11396,2641,116615
JAMMU AND KASHMIR,Reasi,144767,88755,56012,88462,56305,169900,96147,4009,534,44077
JAMMU AND KASHMIR,Jammu,508622,417456,91166,410344,98278,1021336,68613,36873,10589,392547
JAMMU AND KASHMIR,Samba,92526,81952,10574,74129,18397,226372,16894,6105,1520,68007
HIMACHAL PRADESH,Chamba,294035,158791,135244,119632,174403,225045,196665,9193,4521,83656
HIMACHAL PRADESH,Kangra,675170,403756,271414,313915,361255,834905,303007,54849,15662,301652
HIMACHAL PRADESH,Lahul AND Spiti,19295,10763,8532,15190,4105,12269,11227,572,167,7329
HIMACHAL PRADESH,Kullu,269084,148829,120255,193876,75208,168819,197141,12372,2707,56864
HIMACHAL PRADESH,Mandi,572671,297464,275207,284154,288517,427106,387944,15822,7134,161771
HIMACHAL PRADESH,Hamirpur,241931,118724,123207,126153,115778,212837,147103,8824,3347,82657
HIMACHAL PRADESH,Una,215346,141612,73734,134482,80864,305827,84800,19604,3427,107515
HIMACHAL PRADESH,Bilaspur,205871,111543,94328,103406,102465,176085,127169,4138,2561,72003
HIMACHAL PRADESH,Solan,298737,190001,108736,219235,79502,281583,141267,10283,4969,142218
HIMACHAL PRADESH,Sirmaur,280083,169399,110684,193906,86177,249772,182958,10730,5313,81082
HIMACHAL PRADESH,Shimla,430926,258628,172298,311770,119156,383084,249786,26114,7967,147059
HIMACHAL PRADESH,Kinnaur,56273,33863,22410,46782,9491,27848,32995,2537,944,19797
PUNJAB,Gurdaspur,757138,637652,119486,625778,131360,1541185,147912,100684,30903,477639
PUNJAB,Kapurthala,284165,235562,48603,248208,35957,531003,55252,42387,9861,176665
PUNJAB,Jalandhar,774472,639484,134988,689592,84880,1419118,85695,66664,29762,592351
PUNJAB,Hoshiarpur,499822,412506,87316,411011,88811,1086803,89772,74362,15990,319698
PUNJAB,Shahid Bhagat Singh Nagar,204329,170252,34077,173507,30822,407981,42608,22626,9011,130084
PUNJAB,Fatehgarh Sahib,214783,182777,32006,192845,21938,385380,44245,21389,8048,141101
PUNJAB,Ludhiana,1284822,1053600,231222,1138654,146168,2213917,140737,98646,71667,973772
PUNJAB,Moga,359172,292379,66793,304880,54292,636574,91622,82397,18098,167055
PUNJAB,Firozpur,756695,596406,160289,618362,138333,1272379,191685,227971,14679,322360
PUNJAB,Muktsar,335326,272699,62627,287205,48121,566570,86565,111014,5187,132560
PUNJAB,Faridkot,221555,185049,36506,190415,31140,395953,53230,54058,8225,106042
PUNJAB,Bathinda,549986,432988,116998,452678,97308,838539,141535,128382,14938,265131
PUNJAB,Mansa,328512,230739,97773,247175,81337,441239,105963,90367,13442,118740
PUNJAB,Patiala,660267,549661,110606,570391,89876,1235419,113182,89123,23647,434315
PUNJAB,Amritsar,917856,735195,182661,787254,130602,1572800,124617,121599,41642,629998
PUNJAB,Tarn Taran,380702,313639,67063,316310,64392,738925,115853,81216,21328,162305
PUNJAB,Rupnagar,233676,186910,46766,194209,39467,450951,45640,21520,12321,154195
PUNJAB,Sahibzada Ajit Singh Nagar,355995,283367,72628,316236,39759,638633,40867,21791,13501,279836
PUNJAB,Sangrur,568758,485129,83629,499792,68966,1086411,157191,91799,18578,301190
PUNJAB,Barnala,209331,178163,31168,186434,22897,386196,60340,40460,5132,103399
CHANDIGARH,Chandigarh,404136,328159,75977,385929,18207,651314,2578,1687,4799,395072
UTTARAKHAND,Uttarkashi,157276,84265,73011,128367,28909,172810,117264,4387,3122,32503
UTTARAKHAND,Chamoli,180940,93832,87108,115115,65825,210665,121157,3845,5384,50554
UTTARAKHAND,Rudraprayag,113032,52339,60693,78950,34082,129253,83155,3200,2112,24565
UTTARAKHAND,Tehri Garhwal,280442,140821,139621,165912,114530,338489,187121,8129,4021,81171
UTTARAKHAND,Dehradun,582768,458834,123934,488161,94607,1113926,77176,38195,22992,444405
UTTARAKHAND,Garhwal,274152,147373,126779,164439,109713,413119,150607,13715,5635,104195
UTTARAKHAND,Pithoragarh,216490,113539,102951,145481,71009,266949,137332,5432,6055,67671
UTTARAKHAND,Bageshwar,123638,58708,64930,78085,45553,136260,85125,8985,2991,26537
UTTARAKHAND,Almora,298211,142460,155751,201078,97133,324295,207617,10274,4312,76008
UTTARAKHAND,Champawat,99566,60427,39139,62698,36868,160082,59993,4032,1570,33971
UTTARAKHAND,Nainital,376181,256935,119246,296424,79757,578424,137530,34742,9767,194142
UTTARAKHAND,Udham Singh Nagar,591458,444578,146880,450762,140696,1057444,122686,165250,26396,277126
UTTARAKHAND,Hardwar,578121,497810,80311,495152,82969,1312301,93660,103115,19955,361391
HARYANA,Panchkula,211479,164865,46614,182831,28648,349814,26682,12827,9870,162100
HARYANA,Ambala,372139,320120,52019,319475,52664,756211,52871,57293,15753,246222
HARYANA,Yamunanagar,389233,342343,46890,339024,50209,824972,61516,73251,12287,242179
HARYANA,Kurukshetra,336780,268556,68224,285904,50876,627875,68908,85890,6726,175256
HARYANA,Kaithal,373899,292696,81203,290663,83236,700405,128016,85651,9450,150782
HARYANA,Karnal,516062,411646,104416,411533,104529,989262,112288,133723,15311,254740
HARYANA,Panipat,412318,328667,83651,339016,73302,793119,72120,62358,15824,262016
HARYANA,Sonipat,523179,391085,132094,396763,126416,926822,142344,101733,18184,260918
HARYANA,Jind,523422,368277,155145,385851,137571,810730,230387,102071,9114,181850
HARYANA,Fatehabad,369083,263498,105585,286258,82825,572928,132250,97997,6558,132278
HARYANA,Sirsa,502003,369462,132541,399169,102834,793186,164297,147042,11952,178712
HARYANA,Hisar,691621,488321,203300,531227,160394,1052310,261120,144213,16097,270191
HARYANA,Bhiwani,623006,430678,192328,445675,177331,1011439,288543,103788,14855,215820
HARYANA,Rohtak,345967,272646,73321,288949,57018,715237,95732,36568,8521,205146
HARYANA,Jhajjar,326534,250020,76514,246457,80077,631871,112389,44845,9254,160046
HARYANA,Mahendragarh,338584,232935,105649,212402,126182,583504,149146,38320,7639,143479
HARYANA,Rewari,337727,235326,102401,250219,87508,562605,102698,28215,9782,197032
HARYANA,Gurgaon,544716,432456,112260,487441,57275,969716,56046,27097,18228,443345
HARYANA,Mewat,289964,224642,65322,204178,85786,799299,104237,55278,6023,124426
HARYANA,Faridabad,579229,476933,102296,495316,83913,1230504,27705,29288,32286,489950
HARYANA,Palwal,309563,241464,68099,216932,92631,733145,91506,60685,8566,148806
NCT OF DELHI,North West,1188545,1022419,166126,1135126,53419,2467994,11433,13289,35896,1127927
NCT OF DELHI,North,296446,257575,38871,283583,12863,591532,2187,1791,11028,281440
NCT OF DELHI,North East,661386,594353,67033,622443,38943,1580238,2235,2406,30738,626007
NCT OF DELHI,East,579692,486951,92741,555026,24666,1129654,1156,3094,19541,555901
NCT OF DELHI,New Delhi,59541,46940,12601,56471,3070,82463,121,275,1030,58115
NCT OF DELHI,Central,207374,177621,29753,195978,11396,374946,597,601,10902,195274
NCT OF DELHI,West,874320,732598,141722,839621,34699,1668923,2952,4358,29022,837988
NCT OF DELHI,South West,795352,667977,127375,749995,45357,1497606,9733,7753,18614,759252
NCT OF DELHI,South,924393,775592,148801,869086,55307,1807536,2984,5908,25081,890420
RAJASTHAN,Ganganagar,912672,596320,316352,680563,232109,1056496,268297,230438,13790,400147
RAJASTHAN,Hanumangarh,835260,512802,322458,642109,193151,939432,370452,166833,13839,284136
