State,District,Literate,Male_Literate,Female_Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Total_Education
JAMMU AND KASHMIR,Kupwara,439654,282823,156831,60616,101642,99947,74948,39709,21751,6402,405015,694780
JAMMU AND KASHMIR,Badgam,335649,207741,127908,68336,80862,83141,66459,41367,27950,6857,374972,717618
JAMMU AND KASHMIR,Leh(Ladakh),93770,62834,30936,10452,15181,17900,16265,8923,6197,575,75493,108130
JAMMU AND KASHMIR,Kargil,86236,56301,29935,12732,19083,20874,16938,9826,3077,408,82938,122792
JAMMU AND KASHMIR,Punch,261724,163333,98391,55762,72024,69219,46062,29517,13962,1884,288430,452474
JAMMU AND KASHMIR,Rajouri,364109,224469,139640,70996,91859,108785,65921,35804,18576,3036,394977,637283
JAMMU AND KASHMIR,Kathua,389204,228499,160705,69396,82715,106411,91522,47694,24330,4504,426572,607869
JAMMU AND KASHMIR,Baramula,545149,337170,207979,76778,117000,137510,107837,57932,48285,9708,555050,905169
JAMMU AND KASHMIR,Bandipore,185979,117058,68921,34064,47240,48849,35630,18644,12721,2268,199416,363064
JAMMU AND KASHMIR,Srinagar,748584,431746,316838,88911,173309,178723,176409,132727,121856,32114,904049,1214274
JAMMU AND KASHMIR,Ganderbal,143276,90581,52695,25817,38735,38375,28247,15005,9633,2212,158024,274758
JAMMU AND KASHMIR,Pulwama,293958,178326,115632,36201,54808,73991,67368,40931,31286,5897,310482,500851
JAMMU AND KASHMIR,Shupiyan,136500,80355,56145,26468,29593,36939,28617,16501,10782,2010,150910,257963
JAMMU AND KASHMIR,Anantnag,545532,324417,221115,73719,99059,129174,97121,52407,41570,9160,502210,839475
JAMMU AND KASHMIR,Kulgam,209085,125052,84033,36066,47268,60470,45383,24214,18240,3190,234831,410030
JAMMU AND KASHMIR,Doda,219083,138620,80463,43794,47350,62719,48359,31416,12647,1846,248131,411696
JAMMU AND KASHMIR,Ramban,124065,82938,41127,33971,35284,35115,22591,13331,4923,1498,146713,288525
JAMMU AND KASHMIR,Kishtwar,107506,68700,38806,25022,25675,27745,19550,14521,5438,2529,120480,221646
JAMMU AND KASHMIR,Udhampur,322354,197543,124811,58567,80129,86008,55024,29657,17345,4030,330760,525598
JAMMU AND KASHMIR,Reasi,150542,93937,56605,33411,40215,36184,24066,14064,4733,575,153248,296541
JAMMU AND KASHMIR,Jammu,1137135,641916,495219,135391,185962,253542,261852,159257,146501,30616,1173121,1441400
JAMMU AND KASHMIR,Samba,228139,130312,97827,29138,41233,59931,61407,30503,14055,2600,238867,304510
HIMACHAL PRADESH,Chamba,323842,186064,137778,56272,96789,67653,64515,40440,15506,3252,344427,499002
HIMACHAL PRADESH,Kangra,1152640,606443,546197,127699,243617,223099,284124,192936,91236,13577,1176288,1448180
HIMACHAL PRADESH,Lahul AND Spiti,21845,12897,8948,3776,5042,4011,3934,3557,2378,119,22817,29332
HIMACHAL PRADESH,Kullu,307672,174550,133122,48384,77363,61854,58122,39081,23168,2377,310349,413485
HIMACHAL PRADESH,Mandi,723747,393669,330078,100052,159043,132147,180188,128549,54139,9350,763468,982038
HIMACHAL PRADESH,Hamirpur,358091,180555,177536,37327,71107,72114,91184,64363,35620,5263,376978,449529
HIMACHAL PRADESH,Una,399715,213281,186434,51838,87913,81256,105204,60626,32120,5511,424468,512203
HIMACHAL PRADESH,Bilaspur,287620,155599,132021,35817,59489,53515,64730,45695,25474,3241,287961,353825
HIMACHAL PRADESH,Solan,428578,244372,184206,50331,89407,83992,95232,59363,36803,8280,423408,527492
HIMACHAL PRADESH,Sirmaur,362645,205617,157028,57853,100123,78103,67080,38282,23352,4048,368841,509327
HIMACHAL PRADESH,Shimla,612642,342846,269796,69967,113536,113305,141490,95341,80414,9748,623801,761377
HIMACHAL PRADESH,Kinnaur,60699,36697,24002,9400,13749,11437,11140,7871,5118,713,59428,76372
PUNJAB,Gurdaspur,1634719,907660,727059,180897,315156,290618,372317,243539,104345,22107,1528979,2006999
PUNJAB,Kapurthala,576567,316254,260313,71698,127031,112774,128828,77442,48221,9501,575495,750490
PUNJAB,Jalandhar,1622537,882581,739956,183441,333736,304652,339758,216646,162965,34576,1575774,1963583
PUNJAB,Hoshiarpur,1199699,637927,561772,143871,256127,238975,301435,176013,93618,17427,1227466,1522189
PUNJAB,Shahid Bhagat Singh Nagar,438459,239155,199304,53709,111242,94286,101970,61643,26893,5703,455446,588721
PUNJAB,Fatehgarh Sahib,426033,238696,187337,51897,102257,83931,95073,59555,34990,4607,432310,574624
PUNJAB,Ludhiana,2560225,1428348,1131877,277247,488129,443759,527568,318876,272280,44240,2372099,3004079
PUNJAB,Moga,627889,348549,279340,98764,158812,116716,128693,85642,37417,11956,638000,944336
PUNJAB,Firozpur,1227511,707070,520441,196971,306838,226433,221806,147698,82448,25734,1207928,1922797
